id,category,chinese,pinyin,description_en,fan,condition_type,notes
pair_258,Pair,將眼,Jiāng yǎn,Pair is 2 / 5 / 8,1,auto,
flower_each,Flowers,花,Huā,Each flower tile,1,count,fan_per=1
flower_none,Flowers,無花,Wú Huā,No flowers at all,1,auto,
flower_7steal,Flowers,七搶一,Qī qiǎng yī,Player A has 6 flowers draws 7th flower from Player B — Player B pays Player A,40,manual,Special payout rule
flower_8win,Flowers,八花,Bā huā,Player has 7–8 flowers — all players pay,40,manual,Exact threshold unclear from source
lao_shao,1/9 Patterns,老少配,Lǎoshào pèi,111+999 or 123+789 of same suit,2,auto,
duan_yao,1/9 Patterns,斷幺,Duàn yao,No 1s / 9s / winds / dragons in hand,5,auto,
yi_tiao_long,1/9 Patterns,一條龍,Yītiáo lóng,Complete 1–9 run in one suit (123+456+789),10,auto,
hun_yao,1/9 Patterns,混幺,Hùn yao,Only 1s / 9s and winds/dragons — pungs or 123/789 sequences only,10,auto,Superseded by quan_yao if all pungs
quan_dai_yao,1/9 Patterns,全帶幺,Quán dài yao,Every meld contains a 1 or 9 (123/789/111/999 only),20,auto,Superseded by quan_yao
quan_yao,1/9 Patterns,全幺,Quán yao,All pungs of 1s and 9s only (111/999),40,auto,Supersedes quan_dai_yao
shi_san_yao,1/9 Patterns,十三幺,Shísān yao,One each of B1 B9 M1 M9 C1 C9 East South West North 中發白 + pair of any one + any valid meld (17-tile variant),40,auto,17-tile variant: 13 orphans + pair + 1 free meld
zi_pung,Winds/Dragons,字,Zì,Pung of any wind or dragon,1,auto,Per pung — stacks
wu_zi,Winds/Dragons,無字,Wú Zì,No winds or dragons in hand,1,auto,
wu_zi_wu_hua,Winds/Dragons,無字無花,Wú zì wú huā,No winds / dragons and no flowers,5,auto,Supersedes wu_zi and flower_none
xiao_san_yuan,Winds/Dragons,小三元,Xiǎosān yuán,Two dragon pungs + dragon pair,15,auto,Superseded by da_san_yuan
da_san_yuan,Winds/Dragons,大三元,Dà sān yuán,Three dragon pungs (中中中 + 發發發 + 白白白),30,auto,Supersedes xiao_san_yuan
xiao_san_feng,Winds/Dragons,小三風,Xiǎosān fēng,Two wind pungs + wind pair,15,auto,Superseded by da_san_feng / xiao_si_xi
da_san_feng,Winds/Dragons,大三風,Dà sān fēng,Three wind pungs,20,auto,Superseded by xiao_si_xi
xiao_si_xi,Winds/Dragons,小四喜,Xiǎo sì xǐ,Three wind pungs + wind pair,30,auto,Superseded by da_si_xi
da_si_xi,Winds/Dragons,大四喜,Dà sì xǐ,Four wind pungs,40,auto,Supersedes xiao_si_xi
dealer,Dealer,庄家,Zhuāngjiā,Player is the dealer,1,manual,
dealer_streak,Dealer,連一拉一,Lián yī lā yī,Each consecutive win as dealer (enter count),2,count,fan_per=2; count = number of consecutive wins beyond first
zi_mo,Self Draw,自摸,Zìmō,Win by self draw,1,manual,
men_qing_zi_mo,Self Draw,門清自摸,Mén qīng zìmō,All concealed melds + self draw,3,manual,Replaces zi_mo
yi_du,Winning Tile,一獨,Yī dú,Win on single out where other outs existed (e.g. 12345 draw 3),1,manual,Points accuracy uncertain
dui_peng,Winning Tile,對碰/洞洞,Duì pèng / Dòng dòng,Win by completing a pung (1122 → win on 1),1,manual,Points accuracy uncertain
du_du,Winning Tile,獨獨,Dú dú,Win on closed/middle position or pair wait (12 draw 3; 13 draw 2; pair wait),2,manual,Description/points accuracy uncertain
qiang_gang,Winning Tile,搶槓,Qiǎng gàng,Win on tile another player adds to an exposed pung to make a kong,1,manual,
gang_shang_gang,Winning Tile,槓上槓,Gàng shàng gàng,Win on the extra draw tile after a kong or flower replacement,1,manual,
xiao_ping,Pung,小平,Xiǎopíng,All sequences (no pungs) with flowers,4,auto,Requires at least one flower; superseded by da_ping if no flowers
da_ping,Pung,大平,Dàpíng,All sequences (no pungs) and no flowers,10,auto,Supersedes xiao_ping
er_an_ke,Pung,二暗楷,Èr àn gàng,Exactly 2 concealed pungs/kongs,3,auto,Superseded by san_an_ke etc.
san_an_ke,Pung,三暗楷,Sān àn kǎi,Exactly 3 concealed pungs/kongs,10,auto,Superseded by si_an_ke etc.
si_an_ke,Pung,四暗楷,Sì àn kǎi,Exactly 4 concealed pungs/kongs,20,auto,Superseded by wu_an_ke
wu_an_ke,Pung,五暗楷,Wǔ àn kǎi,All 5 melds are concealed pungs/kongs,40,auto,Supersedes lower an_ke counts
peng_peng_hu,Pung,碰碰胡,Pèng pèng hú,All pungs/kongs + 1 pair,15,auto,
ming_gang,Kang,明槓,Míng gàng,Exposed kong,1,count,fan_per=1; count = number of exposed kongs
